start_station_name,rides_all,rides_january,rides_jan14_16,first_ride,last_ride,first_lat,first_lng,community,edit community,suburb,recode reason,gps lookup,notes,recode,community_clean,area,shape_area,perimeter,area_num_1,area_numbe,comarea_id,comarea,shape_len
Public Rack - Kedzie Ave & 62nd Pl,32,0,0,2023/03/13,2023/09/14,41.77995017,-87.70329783,CHICAGO LAWN,,,,,,,CHICAGO LAWN,0,98279465.12,0,66,66,0,0,40073.09984
Public Rack - Kedzie Ave & 63rd St,14,1,0,2023/02/27,2024/01/08,41.77856863,-87.70341909,CHICAGO LAWN,,,,,,,CHICAGO LAWN,0,98279465.12,0,66,66,0,0,40073.09984
Public Rack - Kedzie Ave & 64th St - SE,6,0,0,2023/05/12,2023/09/20,41.77687466,-87.70309711,CHICAGO LAWN,,,,,,,CHICAGO LAWN,0,98279465.12,0,66,66,0,0,40073.09984
Public Rack - Kedzie Ave & 64th St - SW,17,0,0,2023/05/04,2023/10/26,41.77688909,-87.70324647,CHICAGO LAWN,,,,,,,CHICAGO LAWN,0,98279465.12,0,66,66,0,0,40073.09984
Public Rack - Lawndale & 63rd St,3,0,0,2023/02/23,2023/03/02,41.78,-87.71,CHICAGO LAWN,,,,,,,CHICAGO LAWN,0,98279465.12,0,66,66,0,0,40073.09984
Public Rack - Maplewood Ave & 63rd St,9,4,0,2023/03/14,2024/01/13,41.77910042,-87.69,CHICAGO LAWN,,,,,,,CHICAGO LAWN,0,98279465.12,0,66,66,0,0,40073.09984
Public Rack - Rockwell Ave & 71st St,6,0,0,2023/05/02,2023/08/23,41.76,-87.69,CHICAGO LAWN,,,,,,,CHICAGO LAWN,0,98279465.12,0,66,66,0,0,40073.09984
Public Rack - Sacramento & 71st,8,0,0,2023/05/28,2023/07/30,41.76435912,-87.69805372,CHICAGO LAWN,,,,,,,CHICAGO LAWN,0,98279465.12,0,66,66,0,0,40073.09984
Public Rack - Spaulding Ave & 71st St,4,0,0,2023/07/07,2023/11/29,41.76433849,-87.70637846,CHICAGO LAWN,,,,,,,CHICAGO LAWN,0,98279465.12,0,66,66,0,0,40073.09984
Public Rack - Troy & 71st,12,0,0,2023/05/18,2023/11/16,41.76,-87.70209217,CHICAGO LAWN,,,,,,,CHICAGO LAWN,0,98279465.12,0,66,66,0,0,40073.09984
Public Rack - Washtenaw Ave & 63rd St,2,0,0,2023/07/20,2023/10/03,41.7790815,-87.69112372,CHICAGO LAWN,,,,,,,CHICAGO LAWN,0,98279465.12,0,66,66,0,0,40073.09984
Public Rack - Western & 74th,6,0,0,2023/05/29,2023/09/12,41.7591495,-87.68334222,CHICAGO LAWN,,,,,,,CHICAGO LAWN,0,98279465.12,0,66,66,0,0,40073.09984
Public Rack - Whipple St & 63rd St,14,0,0,2023/02/10,2023/11/24,41.77878094,-87.70010167,CHICAGO LAWN,,,,,,,CHICAGO LAWN,0,98279465.12,0,66,66,0,0,40073.09984
Richmond St & 59th St,91,0,0,2023/02/06,2023/12/25,41.78616633,-87.7,CHICAGO LAWN,,,,,,,CHICAGO LAWN,0,98279465.12,0,66,66,0,0,40073.09984
Rockwell St & 63rd St,59,3,0,2023/02/11,2024/01/08,41.7787075,-87.69,CHICAGO LAWN,,,,,,,CHICAGO LAWN,0,98279465.12,0,66,66,0,0,40073.09984
Spaulding Ave & 63rd St,43,0,0,2023/02/07,2023/10/18,41.7790519,-87.71,CHICAGO LAWN,,,,,,,CHICAGO LAWN,0,98279465.12,0,66,66,0,0,40073.09984
St Louis Ave & 59th St,305,6,0,2023/02/08,2024/01/26,41.78576183,-87.71070409,CHICAGO LAWN,,,,,,,CHICAGO LAWN,0,98279465.12,0,66,66,0,0,40073.09984
St. Louis & 71st St,10,1,0,2023/10/27,2024/01/09,41.76433967,-87.7101775,CHICAGO LAWN,,,,,,,CHICAGO LAWN,0,98279465.12,0,66,66,0,0,40073.09984
State St & 33rd St,17975,623,8,2023/02/01,2024/01/31,41.76482987,-87.70415056,CHICAGO LAWN,,,,,,,CHICAGO LAWN,0,98279465.12,0,66,66,0,0,40073.09984
Wells St & Huron St,24686,671,25,2023/02/01,2024/01/31,41.76086628,-87.68943463,CHICAGO LAWN,,,,,,,CHICAGO LAWN,0,98279465.12,0,66,66,0,0,40073.09984
Western Ave & 62nd St,11,0,0,2023/02/25,2023/07/29,41.78,-87.68345067,CHICAGO LAWN,,,,,,,CHICAGO LAWN,0,98279465.12,0,66,66,0,0,40073.09984
Public Rack - 61st St & Melvina Ave,38,0,0,2023/05/11,2023/09/27,41.78,-87.78,CLEARING,,,,,,,CLEARING,0,71145192.38,0,64,64,0,0,45363.28617
Public Rack - 63rd Pl & Narraganssett Ave,58,0,0,2023/05/07,2023/11/16,41.77649272,-87.78219295,CLEARING,,,,,,,CLEARING,0,71145192.38,0,64,64,0,0,45363.28617
Public Rack - 63rd St and Nagle Ave,15,0,0,2023/05/14,2023/09/17,41.77753883,-87.78225112,CLEARING,,,,,,,CLEARING,0,71145192.38,0,64,64,0,0,45363.28617
Public Rack - 63rd St and Natoma Ave,1,0,0,2023/05/22,2023/05/22,41.77764467,-87.7874625,CLEARING,,,,,,,CLEARING,0,71145192.38,0,64,64,0,0,45363.28617
Public Rack - Austin & 62nd,14,0,0,2023/05/05,2023/06/23,41.7795608,-87.7716645,CLEARING,,,,,,,CLEARING,0,71145192.38,0,64,64,0,0,45363.28617
Public Rack - Cicero & 64th,9,0,0,2023/05/06,2023/11/09,41.77622616,-87.74258876,CLEARING,,,,,,,CLEARING,0,71145192.38,0,64,64,0,0,45363.28617
Public Rack - Harlem and W. 59th,7,0,0,2023/05/25,2023/12/05,41.78462112,-87.80113767,CLEARING,,,,,,,CLEARING,0,71145192.38,0,64,64,0,0,45363.28617
Public Rack - Linder Ave & 64th Pl,14,0,0,2023/05/21,2023/11/06,41.77541864,-87.75811338,CLEARING,,,,,,,CLEARING,0,71145192.38,0,64,64,0,0,45363.28617
Public Rack - Midway Orange Line,224,2,0,2023/02/04,2024/01/10,41.78559017,-87.74,CLEARING,,,,,,,CLEARING,0,71145192.38,0,64,64,0,0,45363.28617
Public Rack - Minuteman Park,29,0,0,2023/05/18,2023/11/04,41.78524517,-87.7627207,CLEARING,,,,,,,CLEARING,0,71145192.38,0,64,64,0,0,45363.28617
Public Rack - Natoma Ave & 61st St,19,0,0,2023/05/14,2023/12/09,41.78,-87.79,CLEARING,,,,,,,CLEARING,0,71145192.38,0,64,64,0,0,45363.28617
Public Rack - Parkside & 63rd,13,0,0,2023/05/16,2023/11/20,41.77785468,-87.7633034,CLEARING,,,,,,,CLEARING,0,71145192.38,0,64,64,0,0,45363.28617
Public Rack - S Menard & W 63rd,40,0,0,2023/05/03,2023/09/28,41.77701056,-87.77,CLEARING,,,,,,,CLEARING,0,71145192.38,0,64,64,0,0,45363.28617
Public Rack - Sayre Ave & 59th St,24,0,0,2023/05/18,2023/09/13,41.78,-87.8,CLEARING,,,,,,,CLEARING,0,71145192.38,0,64,64,0,0,45363.28617
Shore Dr & 55th St,10776,265,10,2023/02/01,2024/01/31,41.78433358,-87.7510985,CLEARING,,,,,,,CLEARING,0,71145192.38,0,64,64,0,0,45363.28617
Fort Dearborn Dr & 31st St*,3582,32,0,2023/06/05,2024/01/30,41.83523783,-87.61825943,DOUGLAS,,,,,,,DOUGLAS,0,46004621.16,0,35,35,0,0,31027.05451
State St & 29th St,1245,29,0,2023/02/01,2024/01/31,41.84163141,-87.627061,DOUGLAS,,,,,,,DOUGLAS,0,46004621.16,0,35,35,0,0,31027.05451
Harlem & Irving Park,482,21,0,2023/02/01,2024/01/29,41.95,-87.81,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Harlem Ave & Grace St,100,3,0,2023/02/13,2024/01/25,41.94884443,-87.81,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Meade Ave & Addison St,125,6,0,2023/02/11,2024/01/29,41.94584167,-87.78,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Narragansett & Irving Park,331,13,0,2023/02/01,2024/01/30,41.95,-87.79,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Narragansett Ave & School St,207,11,0,2023/02/06,2024/01/30,41.94,-87.79,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Oketo Ave & Addison St,72,0,0,2023/02/05,2023/12/23,41.94,-87.81200504,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Orange & Addison,82,3,0,2023/02/12,2024/01/08,41.94,-87.82424879,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Panama Ave & Grace St,33,0,0,2023/02/11,2023/08/11,41.94760966,-87.83,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Plainfield & Irving Park,65,0,0,2023/02/13,2023/12/13,41.95,-87.83335583,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Public Rack - Austin Ave & Roscoe St,37,0,0,2023/02/16,2023/11/06,41.94,-87.78,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Public Rack - Canty Elementary School,3,0,0,2023/02/28,2023/07/05,41.94763517,-87.83,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Public Rack - Hiawatha Park,6,1,0,2023/04/14,2024/01/31,41.94,-87.83,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Public Rack - Irving Park Rd & Austin Ave,31,0,0,2023/05/06,2023/11/13,41.95,-87.78,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Public Rack - Irving Park Rd & Melvina Ave,5,0,0,2023/06/12,2023/10/14,41.95286417,-87.78076589,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Public Rack - Neenah & Dakin,4,0,0,2023/05/11,2023/12/01,41.95,-87.79069352,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Public Rack - New England Ave & Grace St,4,0,0,2023/05/10,2023/05/14,41.95,-87.8,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Public Rack - Nordica Ave & Addison St,7,0,0,2023/03/02,2023/08/17,41.9453725,-87.8035005,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Public Rack - Oketo Ave & Belmont Ave,48,0,0,2023/04/24,2023/10/17,41.93797983,-87.81201327,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Public Rack - Oleander Ave & Addison St,1,0,0,2023/09/05,2023/09/05,41.94503267,-87.81552833,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Public Rack - Ozark Ave & Addison St,7,0,0,2023/06/10,2023/09/16,41.9451275,-87.82029317,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Public Rack - Panama Ave & Forest Preserve Ave,6,0,0,2023/05/10,2023/07/09,41.94,-87.83,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Public Rack - Pittsburgh Ave & Irving Park,5,0,0,2023/02/13,2023/07/30,41.95,-87.832994,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Public Rack - Roscoe St & Osceola Ave,6,0,0,2023/05/20,2023/07/17,41.94,-87.81337798,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Public Rack - Wilbur Wright College North,2,0,0,2023/09/25,2023/10/03,41.95900416,-87.78971633,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Public Rack - Wilbur Wright College South,111,7,0,2023/07/01,2024/01/31,41.958148,-87.78760612,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Roscoe & Harlem,115,3,0,2023/02/06,2024/01/03,41.94,-87.81,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Shabbona Park,117,1,0,2023/02/20,2024/01/05,41.94,-87.8,DUNNING,,,,,,,DUNNING,0,103595001.2,0,17,17,0,0,54555.99253
Ada St & Washington Blvd,6698,252,5,2023/02/01,2024/01/31,41.88261783,-87.70212518,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Albany Ave & Bloomingdale Ave,5344,189,5,2023/02/01,2024/01/31,41.87799763,-87.70529233,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
California Ave & Cortez St,5938,106,1,2023/02/01,2024/01/31,41.87883018,-87.69728112,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
California Ave & Francis Pl (Temp),632,0,0,2023/02/01,2023/04/19,41.88360166,-87.69766843,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
California Ave & Lake St,1118,25,0,2023/02/06,2024/01/31,41.88326513,-87.69646013,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
California Ave & Montrose Ave,3376,53,0,2023/02/01,2024/01/31,41.88549171,-87.69558179,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
California Ave & North Ave,4313,100,1,2023/02/01,2024/01/31,41.8830718,-87.69849026,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Canal St & Madison St,19269,747,14,2023/02/01,2024/01/31,41.87175558,-87.69850123,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Central Park Blvd & 5th Ave,157,6,1,2023/02/11,2024/01/31,41.8756245,-87.71557167,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Conservatory Dr & Lake St,629,16,0,2023/02/01,2024/01/31,41.88512576,-87.71695769,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Damen Ave & Chicago Ave,10090,310,6,2023/02/01,2024/01/31,41.885584,-87.71931195,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
DuSable Lake Shore Dr & Belmont Ave,20799,249,8,2023/02/01,2024/01/31,41.87962723,-87.695759,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Elston Ave & Cortland St,9810,310,6,2023/02/01,2024/01/31,41.88360166,-87.70073795,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Franklin St & Adams St (Temp),10184,416,7,2023/02/01,2024/01/31,41.87658117,-87.69673252,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Green St & Madison St,19955,516,11,2023/02/01,2024/01/31,41.87544583,-87.70212518,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Humboldt Blvd & Armitage Ave,5755,128,3,2023/02/01,2024/01/31,41.88360166,-87.70197511,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Kedzie Ave & Harrison St,158,0,0,2023/02/04,2023/11/08,41.8735621,-87.70497183,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Kedzie Ave & Lake St,922,4,0,2023/02/01,2024/01/30,41.88361454,-87.7069608,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Kedzie Ave & Palmer Ct,4137,160,4,2023/02/01,2024/01/31,41.87371633,-87.71053967,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Lincoln Ave & Belle Plaine Ave,5410,135,5,2023/02/01,2024/01/31,41.88360166,-87.6978458,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Malcolm X College,2091,57,0,2023/02/02,2024/01/31,41.87732083,-87.70212518,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Mies van der Rohe Way & Chicago Ave,13761,386,9,2023/02/01,2024/01/31,41.87784517,-87.71029495,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Milwaukee Ave & Rockwell St,4206,63,0,2023/02/01,2024/01/31,41.87371633,-87.6932441,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Mozart St & Jackson Blvd,114,5,0,2023/02/04,2024/01/30,41.8773595,-87.7,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Public Rack - Al Raby School,1,0,0,2023/11/11,2023/11/11,41.88637674,-87.71469426,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Public Rack - Garfield Park Conservatory,9,0,0,2023/04/07,2023/10/11,41.88637304,-87.72,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Public Rack - Homan Ave & Lake St,9,0,0,2023/05/22,2023/09/07,41.88450587,-87.71148658,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Public Rack - Kedzie Ave & Walnut St,3,0,0,2023/06/22,2023/12/06,41.885853,-87.70637783,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Public Rack - Sacramento Blvd & Washington Blvd,2,0,0,2023/09/20,2023/10/23,41.88292833,-87.69993433,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Sacramento Blvd & Fulton Ave,210,6,0,2023/02/03,2024/01/30,41.88638883,-87.70178425,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Sacramento Blvd & Polk St,57,1,0,2023/02/02,2024/01/27,41.87,-87.70039667,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Sheffield Ave & Willow St,9841,215,8,2023/02/01,2024/01/31,41.88360166,-87.69635233,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Spaulding Ave & Division St,1781,36,0,2023/02/01,2024/01/31,41.8723992,-87.70958352,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Stave St & Armitage Ave,5106,129,1,2023/02/01,2024/01/31,41.86936688,-87.69229353,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Troy St & Jackson Blvd,47,1,0,2023/02/02,2024/01/01,41.87743433,-87.7048935,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Walsh Park,7481,187,7,2023/02/01,2024/01/31,41.88360166,-87.69541538,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Washtenaw Ave & Madison St,25,2,0,2023/04/20,2024/01/29,41.88,-87.69416797,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Washtenaw Ave & Polk St,776,10,0,2023/02/12,2024/01/28,41.87,-87.6940701,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Wells St & Evergreen Ave,18921,398,3,2023/02/01,2024/01/31,41.88360166,-87.69864033,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Wells St & Hubbard St,23483,801,29,2023/02/01,2024/01/31,41.8769195,-87.697837,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Western Ave & Walton St,6863,164,0,2023/02/01,2024/01/31,41.88535618,-87.697243,EAST GARFIELD PARK,,,,,,,EAST GARFIELD PARK,0,53883220.85,0,27,27,0,0,31514.62596
Avenue L & 114th St,19,0,0,2023/05/29,2023/12/20,41.68790233,-87.53662017,EAST SIDE,,,,,,,EAST SIDE,0,83241728.05,0,52,52,0,0,52274.19285
Burnham Greenway & 105th St,101,1,0,2023/02/12,2024/01/02,41.704575,-87.52861357,EAST SIDE,,,,,,,EAST SIDE,0,83241728.05,0,52,52,0,0,52274.19285
Burnham Greenway & 112th St,359,2,0,2023/02/09,2024/01/02,41.69170678,-87.53058183,EAST SIDE,,,,,,,EAST SIDE,0,83241728.05,0,52,52,0,0,52274.19285
Calumet Park,164,0,0,2023/02/19,2023/12/26,41.7136755,-87.53089933,EAST SIDE,,,,,,,EAST SIDE,0,83241728.05,0,52,52,0,0,52274.19285
Public Rack - Ave N & 106th St,13,0,0,2023/04/21,2023/10/19,41.7,-87.54,EAST SIDE,,,,,,,EAST SIDE,0,83241728.05,0,52,52,0,0,52274.19285
Public Rack - Avenue J & 102nd St,2,0,0,2023/07/11,2023/08/29,41.70998514,-87.5342989,EAST SIDE,,,,,,,EAST SIDE,0,83241728.05,0,52,52,0,0,52274.19285
Public Rack - Avenue J & 106th St,4,1,0,2023/09/09,2024/01/08,41.70257485,-87.5335263,EAST SIDE,,,,,,,EAST SIDE,0,83241728.05,0,52,52,0,0,52274.19285
Public Rack - Ewing Ave & 101st St,2,0,0,2023/07/13,2023/08/10,41.71168482,-87.53519428,EAST SIDE,,,,,,,EAST SIDE,0,83241728.05,0,52,52,0,0,52274.19285
Public Rack - Ewing Ave & 102nd St,2,0,0,2023/07/26,2023/11/10,41.70989067,-87.53541744,EAST SIDE,,,,,,,EAST SIDE,0,83241728.05,0,52,52,0,0,52274.19285
Public Rack - Ewing Ave & 105th St,3,0,0,2023/07/13,2023/10/23,41.704452,-87.53584266,EAST SIDE,,,,,,,EAST SIDE,0,83241728.05,0,52,52,0,0,52274.19285
Public Rack - Ewing Ave & 106th St,6,0,0,2023/03/08,2023/10/07,41.7,-87.54,EAST SIDE,,,,,,,EAST SIDE,0,83241728.05,0,52,52,0,0,52274.19285
Public Rack - Ewing Ave & 106th St NW,6,0,0,2023/04/04,2023/11/26,41.7,-87.54,EAST SIDE,,,,,,,EAST SIDE,0,83241728.05,0,52,52,0,0,52274.19285
Public Rack - Ewing Ave & 107th St,15,0,0,2023/05/05,2023/09/03,41.7,-87.54,EAST SIDE,,,,,,,EAST SIDE,0,83241728.05,0,52,52,0,0,52274.19285
Public Rack - Ewing Ave & 95th St,3,0,0,2023/02/20,2023/09/08,41.72,-87.54,EAST SIDE,,,,,,,EAST SIDE,0,83241728.05,0,52,52,0,0,52274.19285
Public Rack - Ewing Ave & 96th St N,1,0,0,2023/07/13,2023/07/13,41.72159791,-87.53556395,EAST SIDE,,,,,,,EAST SIDE,0,83241728.05,0,52,52,0,0,52274.19285
Public Rack - Ewing Ave & 96th St S,2,0,0,2023/06/15,2023/12/29,41.7204775,-87.5351995,EAST SIDE,,,,,,,EAST SIDE,0,83241728.05,0,52,52,0,0,52274.19285
Public Rack - Ewing Ave & 99th St,8,2,0,2023/06/15,2024/01/30,41.7157495,-87.535427,EAST SIDE,,,,,,,EAST SIDE,0,83241728.05,0,52,52,0,0,52274.19285
Public Rack - Ewing Ave & Indianapolis Ave,6,0,0,2023/05/12,2023/11/15,41.71,-87.54,EAST SIDE,,,,,,,EAST SIDE,0,83241728.05,0,52,52,0,0,52274.19285
Public Rack - Mackinaw Ave & 106th St,3,0,0,2023/05/29,2023/07/10,41.7022415,-87.54274142,EAST SIDE,,,,,,,EAST SIDE,0,83241728.05,0,52,52,0,0,52274.19285
Public Rack - Mackinaw Ave & 108th St,3,0,0,2023/08/29,2023/09/30,41.69884718,-87.5430119,EAST SIDE,,,,,,,EAST SIDE,0,83241728.05,0,52,52,0,0,52274.19285
Broadway & Granville Ave,7053,149,3,2023/02/01,2024/01/31,41.99397588,-87.66116285,EDGEWATER,,,,,,,EDGEWATER,0,48449990.84,0,77,77,0,0,31004.83095
Broadway & Thorndale Ave,7329,142,4,2023/02/01,2024/01/31,41.979096,-87.66846502,EDGEWATER,,,,,,,EDGEWATER,0,48449990.84,0,77,77,0,0,31004.83095
Clark St & Elmdale Ave,3621,80,0,2023/02/01,2024/01/31,41.99018419,-87.66986733,EDGEWATER,,,,,,,EDGEWATER,0,48449990.84,0,77,77,0,0,31004.83095
Public Rack - Brooks Park,8,0,0,2023/05/20,2023/07/05,42,-87.81,EDISON PARK,,,,,,,EDISON PARK,0,31636313.79,0,9,9,0,0,25937.22684
Public Rack - Northwest Hwy & Highland Ave,2,0,0,2023/05/16,2023/09/15,41.99620831,-87.81,EDISON PARK,,,,,,,EDISON PARK,0,31636313.79,0,9,9,0,0,25937.22684
Public Rack - Northwest Hwy & Neva Ave,11,0,0,2023/05/10,2023/09/20,41.995849,-87.81,EDISON PARK,,,,,,,EDISON PARK,0,31636313.79,0,9,9,0,0,25937.22684
Public Rack - Northwest Hwy & Overhill Ave,1,0,0,2023/07/08,2023/07/08,42.01164017,-87.81261067,EDISON PARK,,,,,,,EDISON PARK,0,31636313.79,0,9,9,0,0,25937.22684
Public Rack - Octavia Ave & Touhy Ave,1,0,0,2023/05/27,2023/05/27,42.01175533,-87.80840617,EDISON PARK,,,,,,,EDISON PARK,0,31636313.79,0,9,9,0,0,25937.22684
Public Rack - Oketo & Northwest Hwy,6,0,0,2023/05/13,2023/10/21,42,-87.8124491,EDISON PARK,,,,,,,EDISON PARK,0,31636313.79,0,9,9,0,0,25937.22684
Public Rack - Olmstead Ave & Oliphant Ave,84,8,0,2023/05/07,2024/01/28,42,-87.82,EDISON PARK,,,,,,,EDISON PARK,0,31636313.79,0,9,9,0,0,25937.22684
Public Rack - Osceola Ave & Touhy Ave,4,0,0,2023/05/11,2023/08/09,42.01,-87.8127197,EDISON PARK,,,,,,,EDISON PARK,0,31636313.79,0,9,9,0,0,25937.22684
Public Rack - Ottowa Ave & Touhy Ave,6,0,0,2023/05/28,2023/09/30,42.01146662,-87.8182255,EDISON PARK,,,,,,,EDISON PARK,0,31636313.79,0,9,9,0,0,25937.22684
Public Rack - Overhill Ave & Touhy Ave,16,2,0,2023/05/11,2024/01/28,42.01,-87.82,EDISON PARK,,,,,,,EDISON PARK,0,31636313.79,0,9,9,0,0,25937.22684
Public Rack - Ozanam Ave & Devon Ave,8,0,0,2023/05/07,2023/11/18,41.99691176,-87.82140577,EDISON PARK,,,,,,,EDISON PARK,0,31636313.79,0,9,9,0,0,25937.22684
Public Rack - Pratt Ave & Odell Ave,7,0,0,2023/08/15,2023/12/02,42.00432634,-87.811023,EDISON PARK,,,,,,,EDISON PARK,0,31636313.79,0,9,9,0,0,25937.22684
Public Rack - Touhy Ave & Oconto Ave,14,0,0,2023/05/22,2023/12/23,42.01171637,-87.80767024,EDISON PARK,,,,,,,EDISON PARK,0,31636313.79,0,9,9,0,0,25937.22684
